#,Account,Amount,Value,Percentage,Last Txn Time (UTC)
1,TKRHxMv7tUe6cLxQJsE3JL29KeRccY8K7n,997138028.820000,,0.9971,2025-05-10 19:39:42
2,TDhqMjTnDAUxYraTVLLie9Qd8NDGY91idq,1028370.607984,,0.0010,2025-05-10 20:48:33
3,TFaVtqhFKRKEmAUsiRk3H23mX4LXEV57f7,990000.000000,,0.0009,2025-05-10 19:38:30
4,TVBC3xBUf2hxxRMhb5CDCZTiVHFDAWpnJd,841500.000000,,0.0008,2025-05-10 19:39:42
5,TJbNs1NDBBMTSc2eMkGTnQnGtsbaXSegFc,1277.100000,,0.0000,2025-04-20 18:05:36
6,TVwqxu3wnKfpKYiDXrAHe9LgUkaqN3NXF3,130.680000,,0.0000,2025-05-10 20:48:33
7,TCCDA8P8z7ZK3Dy2ytHW9iL4uE57Kbmnng,108.900000,,0.0000,2025-04-20 17:52:30
8,TNrDBjfjYcP8sh7YkRvHhHnUkQ8JSU8xNd,99.990000,,0.0000,2025-04-21 20:23:30
9,TKy77TXEjD6pBBLSffa8EfXNDfSirJ3c4T,99.990000,,0.0000,2025-04-22 12:48:06
10,TMpmaHwdGX1k5VQkqx4drdhu9bufLEDxiE,99.000000,,0.0000,2025-04-20 13:04:39
11,TMbX5ZnGr2jdExsXC3WEiNXni6dVMv1cWo,99.000000,,0.0000,2025-04-20 13:51:51
12,TTDW4dFH5JKxoFM8Jm2YZYkpEcAqc1CTQG,87.184222,,0.0000,2025-04-22 17:55:09
13,TN9gRWAE958XpAgyW9dcRUccKqxveWdT7d,56.008568,,0.0000,2025-04-23 16:26:33
14,TYtMwACqErkRnYgfh1o2SH8LUD55RUVuxA,31.680000,,0.0000,2025-05-10 14:43:42
15,TDD7LQc2pvHCUJCb4DxMyePYBhnxUTaqrv,10.890000,,0.0000,2025-04-21 20:30:42
16,TS5v9Z9frcc6zerQmUsLBCEp28fdabNZC7,0.114209,,0.0000,2025-04-23 16:26:33
17,TB5wyxUZA8ndhVGvxrk8vZMvFSzDtwRTzR,0.027917,,0.0000,2025-05-09 10:25:54
18,TFZZqYgTnuaVUsu3ZS9jULerWjqd7TLtDC,0.004608,,0.0000,2025-05-09 10:26:39
19,TSjyiJPxeipbf5XsyejKZbftdEh2NtffJu,0.002492,,0.0000,2025-04-16 09:35:12
